project,download_count
analytics-python,5038939
django-filter,5014936
reportlab,4992158
gimme-aws-creds,4988673
ftfy,4985166
timm,4970131
azure-mgmt-managedservices,4963712
flask-jwt-extended,4957899
commonmark,4916236
azure-mgmt-botservice,4909714
pydub,4904245
uamqp,4896967
bandit,4895489
azure-mgmt-sqlvirtualmachine,4888669
marshmallow-sqlalchemy,4886280
azure-mgmt-servicelinker,4880423
google-cloud-workflows,4869788
azure-mgmt-servicefabricmanagedclusters,4868749
azure-synapse-accesscontrol,4851989
azure-mgmt-databoxedge,4845941
google-cloud-redis,4828916
aws-xray-sdk,4826508
sphinx-rtd-theme,4817903
qtpy,4811208
gradio-client,4810518
autopep8,4794382
google-cloud-automl,4786540
apache-airflow-providers-amazon,4783358
pyee,4765117
scandir,4737570
azure-mgmt-synapse,4733400
azure-mgmt-reservations,4732969
natsort,4727510
awscrt,4726853
jupyter,4723323
twisted,4696789
constructs,4682833
db-contrib-tool,4681326
prometheus-flask-exporter,4657352
cloudpathlib,4655793
requests-ntlm,4654537
passlib,4646663
azure-mgmt-extendedlocation,4634827
editables,4632110
setuptools-rust,4628407
webob,4627830
google-cloud,4607741
jupyter-console,4592149
google-cloud-os-login,4585135
google-cloud-translate,4574400
azure-cosmosdb-table,4568397
configargparse,4558951
pathy,4536563
apache-airflow-providers-sqlite,4529985
evergreen-py,4520757
asyncpg,4518253
cerberus,4518069
bracex,4504310
apache-airflow-providers-ftp,4477405
python-docx,4452395
nbclassic,4436679
google-cloud-memcache,4430390
elasticsearch-dsl,4425919
polyfactory,4416145
mkdocs-material,4416133
azure-cosmosdb-nspkg,4399358
pathlib,4390885
flask-session,4390313
pytest-repeat,4387176
convertdate,4380439
mmh3,4367984
opentelemetry-instrumentation-asgi,4366961
sqlalchemy-bigquery,4357257
uv,4349461
google-cloud-compute,4343971
pkce,4334512
magicattr,4323710
urllib3-secure-extra,4317967
pyelftools,4316248
sentence-transformers,4315284
apache-airflow-providers-imap,4296860
ldap3,4290085
atomicwrites,4290060
ua-parser,4280495
streamlit,4275163
boltons,4273879
flake8-docstrings,4270129
google-cloud-dataplex,4268467
dm-tree,4266244
userpath,4265545
plumbum,4264046
numexpr,4263291
somnium,4256888
xlwt,4256420
constantly,4252726
tensorflow-metadata,4248532
async-generator,4247213
factory-boy,4229242
gql,4222515
gcloud-aio-auth,4215884
automat,4212963
stringcase,4203105
diff-match-patch,4191015
pytest-split,4175304
logbook,4173628
grpcio-gcp,4157232
apache-airflow-providers-mysql,4148836
google-cloud-speech,4140995
pytest-order,4138141
dbt-snowflake,4107225
dpath,4106492
aliyun-python-sdk-core,4100769
aws-lambda-powertools,4097695
spark-nlp,4085908
mlflow-skinny,4082172
backports-functools-lru-cache,4081853
openapi-schema-validator,4071601
ray,4066371
tf-keras,4053175
faiss-cpu,4049878
opentelemetry-instrumentation-fastapi,4029752
opencensus-ext-logging,4028440
python3-openid,4013953
pyaml,4012602
service-identity,4005245
google-cloud-texttospeech,3998300
cx-oracle,3985781
pgpy,3981591
toposort,3964109
google-cloud-dataproc-metastore,3962221
korean-lunar-calendar,3943411
google-cloud-orchestration-airflow,3926658
kfp-pipeline-spec,3907360
pymeeus,3903284
h3,3898934
django-extensions,3890653
cog,3876263
mypy-boto3-redshift-data,3868378
jsonlines,3845378
frozendict,3841964
azure-kusto-ingest,3839996
pandas-stubs,3837472
binaryornot,3823244
configupdater,3815599
distributed,3814472
webdriver-manager,3808731
bottle,3801166
pyrfc3339,3800943
langchain-text-splitters,3793570
pytz-deprecation-shim,3787822
backports-tarfile,3772088
cookiecutter,3763371
minimal-snowplow-tracker,3754963
hiredis,3749962
orderedmultidict,3745735
pynumdiff,3737787
distrax,3736361
stripe,3705367
cssselect2,3699543
pdfminer-six,3681218
pyquery,3660001
pyperclip,3659229
tensorflow-hub,3651819
pytest-django,3646215
datefinder,3644640
hyperpyyaml,3642641
speechbrain,3630950
azure-mgmt-deploymentmanager,3607504
cloudevents,3607411
gcloud-aio-storage,3606827
google-cloud-dataform,3598725
wcmatch,3586629
flask-babel,3573250
mkdocs,3563981
swagger-ui-bundle,3563553
dbt-semantic-interfaces,3558165
pymdown-extensions,3556034
sphinxcontrib-jquery,3555588
promise,3554804
django-storages,3552576
apache-airflow-providers-common-io,3536215
pydeck,3512402
shortuuid,3508076
twilio,3495676
hdfs,3492982
blessed,3488325
appnope,3485620
aiosqlite,3478651
sarif-om,3470760
jschema-to-python,3460528
azureml-core,3458616
pycares,3451327
types-redis,3438150
prison,3427514
ghp-import,3424070
dagster-pandas,3414894
expiringdict,3409457
azure-functions,3402711
feedparser,3401477
python-decouple,3387884
pyyaml-env-tag,3380663
apache-airflow-providers-smtp,3368952
tomli-w,3367841
zope-deprecation,3367818
gcloud-aio-bigquery,3344930
ipdb,3340785
flax,3340579
qrcode,3331988
parse-type,3328881
emoji,3326969
jdcal,3325630
oldest-supported-numpy,3323485
tableauserverclient,3322328
google-cloud-datastore,3319147
playwright,3313624
kfp-server-api,3295798
firebase-admin,3282698
functions-framework,3256951
oracledb,3249413
marshmallow-oneofschema,3244566
tensorflow-datasets,3243611
aiodns,3239847
configobj,3231574
newrelic,3226425
yappi,3222603
jaxlib,3210240
mypy-protobuf,3192902
sqlalchemy-redshift,3171647
psycopg-binary,3145792
hydra-core,3131763
sqlalchemy-jsonfield,3131353
jellyfish,3124582
dagster-dbt,3117777
dynaconf,3110366
xyzservices,3108339
python-editor,3101698
addict,3101583
tensorflow-probability,3100525
uuid,3098351
opentelemetry-instrumentation-requests,3097739
pypandoc,3096641
cloud-tpu-client,3083451
optree,3065507
langdetect,3057676
msgspec,3048932
azureml-dataprep,3046692
kaleido,3045729
user-agents,3040878
marshmallow-dataclass,3035436
repoze-lru,3032578
pyhumps,3031629
hijri-converter,3019736
plotnine,3018333
django-redis,3016352
netifaces,3009798
types-toml,3009045
portpicker,3002256
datasketch,3000225
pytest-env,2999669
unittest-xml-reporting,2999636
dynamodb-json,2991063
hologram,2990764
sqlglot,2989113
dash,2985130
tensorflow-io,2983388
filetype,2973263
pyudev,2972885
diff-cover,2972726
clickclick,2968411
immutabledict,2967034
python-box,2965347
types-pyopenssl,2960902
keyrings-google-artifactregistry-auth,2959911
pastedeploy,2952322
rasterio,2940303
flake8-bugbear,2933211
venusian,2928431
grpcio-reflection,2927739
enum-compat,2921654
weasel,2912868
rdflib,2911348
pymupdf,2911003
ciso8601,2901040
launchdarkly-server-sdk,2895992
mizani,2887237
yq,2883743
w3lib,2883166
affine,2875358
multimethod,2863882
pyhive,2853771
namex,2838755
adlfs,2828594
trino,2827023
pathable,2822116
soundfile,2822108
opentelemetry-instrumentation-wsgi,2821598
fs,2820404
cmdstanpy,2817252
whitenoise,2817168
jsonref,2813843
pastel,2809668
pkgconfig,2808087
pytest-randomly,2800239
voluptuous,2798061
petl,2796839
pypika,2791423
mkdocs-material-extensions,2791001
google,2788606
pooch,2778325
tokenize-rt,2765140
furl,2763721
evaluate,2762654
hyperopt,2761505
lru-dict,2754381
pmdarima,2752857
strictyaml,2751285
django-debug-toolbar,2748648
hupper,2744598
snuggs,2740015
ultralytics,2739294
terminaltables,2736216
pandera,2729894
pymsteams,2728744
apache-airflow-providers-slack,2725575
translationstring,2713484
librosa,2712486
pyramid,2705981
apache-airflow-providers-cncf-kubernetes,2696101
robotframework,2687967
flower,2679902
etils,2678531
pysam,2677361
pypng,2666150
findspark,2662629
duckdb,2654418
plaster-pastedeploy,2648867
plaster,2648834
elementpath,2648506
mypy-boto3-secretsmanager,2647058
azure-storage-file,2642924
jsii,2637643
aiohttp-retry,2636751
user-agent,2632661
backports-weakref,2609821
robotframework-seleniumlibrary,2597247
dash-core-components,2580262
rich-click,2576143
hatch-vcs,2573329
publication,2573244
dash-html-components,2573120
dash-table,2566220
pathlib-abc,2562797
comtypes,2560712
netcdf4,2557758
pyhocon,2547403
mypy-boto3-sqs,2541698
azureml-dataprep-native,2533320
mypy-boto3-dynamodb,2524608
requests-aws-sign,2509216
chevron,2506305
pathvalidate,2506045
python-consul,2505249
cftime,2502955
xmlschema,2492289
cytoolz,2490807
geventhttpclient,2485296
python-jenkins,2484634
